"track","liveness"
"Natiruts Reggae Power - Ao Vivo","0.911"
"(Today I Met) The Boy I'm Gonna Marry","0.911"
"In My Room","0.911"
"Intenção - Ao Vivo","0.91"
"Sozinho - Ao Vivo","0.91"
"Will The Circle Be Unbroken - Live","0.909"
"Will The Circle Be Unbroken - Live","0.909"
"A Carta - Ao Vivo","0.909"
"Colombia, Mi Encanto","0.908"
"Meu Amor É Todo Seu","0.908"
"Apreton","0.908"
"Apreton","0.908"
"Saudade da Minha Vida - Ao Vivo","0.907"
"Não Olhe Pra Trás (feat. Lenine) - Ao Vivo","0.907"
"Nihil","0.907"
"Envolvidão - Ao Vivo Em Santa Catarina / 2022","0.907"
"Lifetime (with Ty Dolla $ign & 070 Shake)","0.906"
"Seu Amor Ainda é Tudo - Ao Vivo","0.905"
"I'm Made Of Wax, Larry, What Are You Made Of?","0.904"
"Night Witches","0.904"
"Mal Feito - Ao Vivo","0.903"
"Mal Feito - Ao Vivo","0.903"
"À Sua Maneira (De Música Ligera) (feat. Seu Jorge) - Ao Vivo","0.902"
"(Ghost) Riders in the Sky - Live at Nassau Coliseum, Uniondale, NY - March 1990","0.902"
"(Ghost) Riders in the Sky - Live at Nassau Coliseum, Uniondale, NY - March 1990","0.902"
"If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band)","0.901"
"The Payback","0.901"
"Deseos de Cosas Imposibles (with Abel Pintos) - Directo Primera Fila","0.901"
"Talismã / Temporal de Amor / Solidão (feat. Gusttavo Lima) - Ao Vivo","0.901"
"Camisa 10 (Ao Vivo)","0.898"
"Botadão","0.898"
"Coração Que Manda - Ao Vivo","0.897"
"Rigoletto / Act 3: ""La donna è mobile"" - Live","0.897"
"Enciende Una Luz","0.896"
"Sufro","0.895"
"A rodar mi vida","0.893"
"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968","0.893"
"Lights Shine Bright","0.892"
"Ex Alcoolizado - Ao Vivo","0.892"
"Assunto Delicado - Ao Vivo","0.891"
"Así Fue - En Vivo","0.891"
"Assunto Delicado - Ao Vivo","0.891"
"Liberdade Pra Dentro da Cabeça - Ao Vivo","0.891"
"Batucada - Ao Vivo","0.888"
"Tendo A Lua - Ao Vivo","0.888"
"Ressuscita-me","0.888"
"Holiday","0.888"
"Pose - Ao Vivo","0.886"
"Are You In?","0.886"
"Before I Forget","0.886"
"CORAÇÃO CIGANO - Ao Vivo","0.884"
"What A Beautiful Name - Live","0.884"
"CORAÇÃO CIGANO - Ao Vivo","0.884"
"Teil 23 - Das Geheimnis der Geisterinsel","0.884"
"No Te Creas Tan Importante - En Vivo","0.881"
"Merry Christmas, Happy Holidays","0.881"
"O Grau Bateu - Ao Vivo","0.881"
"96 - Tausendundein Tor! - Teil 07","0.879"
"Crossroads - Live","0.879"
"Tchau e Bença - Live From Brazil / 2007","0.877"
"Mastaaru Mastaaru","0.877"
"Mastaaru Mastaaru","0.877"
"Eu Topo - Ao Vivo","0.874"
"Kali Kali Zulfon Ke Phande Na Dalo","0.874"
"Get Up Offa That Thing","0.874"
"Nosso Amor Quer Paz - Ao Vivo","0.874"
"TEMPTATION","0.874"
"Roll Me Up and Smoke Me When I Die - Live","0.873"
"Roll Me Up and Smoke Me When I Die - Live","0.873"
"Lancinho - Ao Vivo","0.873"
"Champions","0.873"
"Champions","0.873"
"Champions","0.873"
"Roll Me Up and Smoke Me When I Die - Live","0.873"
"Roll Me Up and Smoke Me When I Die - Live","0.873"
"Roll Me Up and Smoke Me When I Die - Live","0.873"
"Champions","0.873"
"Roll Me Up and Smoke Me When I Die - Live","0.873"
"Roll Me Up and Smoke Me When I Die - Live","0.873"
"Roll Me Up and Smoke Me When I Die - Live","0.873"
"Champions","0.873"
"Roll Me Up and Smoke Me When I Die - Live","0.873"
"No Reason","0.872"
"Increíble (En Vivo)","0.872"
"Contramão - Ao Vivo","0.872"
"Te Amo","0.871"
"Frio da Madrugada - Ao Vivo","0.87"
"A Maior Saudade - Ao Vivo","0.87"
"SOLTEIROU - Ao Vivo","0.87"
"Vou Ter Que Superar - Ao Vivo","0.869"
"Água Nos Zói - Ao Vivo","0.868"
"Bless Me","0.868"
"Deixa em Off - Ao Vivo","0.868"
"Fantasy","0.868"
"Psycho","0.868"
"Sorrows","0.867"
"Atrasadinha - Live","0.866"
"E Aí Tempo","0.866"
"Dima Maghreb","0.864"
"The Neden Game","0.864"
"Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto)","0.864"
"Beijo de Glicose - Ao Vivo","0.864"
"Beijo de Glicose - Ao Vivo","0.864"
"Sofrimento Antecipado - Ao Vivo","0.863"
"Refrão De Bolero - Ao Vivo","0.862"
"Laço Aberto - Ao Vivo","0.862"
"Hola Bebe","0.861"
"Rayas de Patrón","0.861"
"The Happiest Christmas Tree","0.861"
"Gunehgar","0.861"
"Vaa Vaathi","0.86"
"Coração Bobo - Ao Vivo","0.86"
"Vaa Vaathi","0.86"
"Vaa Vaathi","0.86"
"Coração Bobo - Ao Vivo","0.86"
"Mammas Don't Let Your Babies Grow Up to Be Cowboys - Live at Nassau Coliseum, Uniondale, NY - March 1990","0.86"
"152 - und das Geheimnis der Kelly Brüder - Teil 06","0.86"
"Vou Ver e Te Aviso","0.859"
"Sleepy Sea Sounds","0.859"
"Sleepy Sea Sounds","0.859"
"Kapitel 3.3 & Kapitel 4.1 - Die kleine Hexe - Das Hörspiel","0.857"
"Dois Enganados","0.857"
"Supera / Luz das Estrelas / Ainda É Cedo pra Dizer Bye Bye / Desafio - Ao Vivo","0.857"
"Vivo Por Ella","0.856"
"Beautiful Boy (Darling Boy) - Remastered 2010","0.856"
"90MIN","0.855"
"Não Pega Ninguém Ainda (Ao Vivo)","0.854"
"Old School Remix","0.854"
"El Presente (Unplugged) (En Vivo)","0.853"
"Coração Radiante","0.852"
"Raja Ji Khoon Kaida","0.849"
"Absolute Zero","0.846"
"En la Ciudad de la Furia - MTV Unplugged","0.845"
"SIR BAUDELAIRE (feat. DJ Drama)","0.844"
"Out Of Time","0.842"
"Kapitel 13: Das große Gewitter (Folge 153)","0.841"
"81 - Geheimnis im Spukhotel - Teil 04","0.84"
"Little Red Corvette - 7"" Edit - 2019 Remaster","0.84"
"Baby, can I hold you tonight","0.84"
"Lembrança - Ao Vivo","0.84"
"Você Não Sabe Voltar - Ao Vivo","0.84"
"Baby, can I hold you tonight","0.84"
"Fogo - Ao Vivo","0.84"
"Call on Me - Radio Mix","0.839"
"Nothing Else Matters vs F*CKING SOCIETY - Hardwell Mashup","0.836"
"Culón Culito","0.836"
"Cara da Derrota - Ao Vivo","0.834"
"Pump It Louder","0.834"
"Pump It Louder","0.834"
"Go With The Flow","0.833"
"Say Aah (feat. Fabolous)","0.833"
"Wish You Were Here","0.832"
"Drachenzähmen leicht gemacht 3 - Teil 2","0.832"
"Prejuízo - Ao Vivo","0.832"
"Purple Lamborghini (with Rick Ross)","0.831"
"Purple Lamborghini (with Rick Ross)","0.831"
"Long Time - Intro","0.83"
"Andei Só - Ao Vivo","0.83"
"A Las Nueve","0.829"
"Miss The Rage (feat. Playboi Carti)","0.826"
"Miss The Rage (feat. Playboi Carti)","0.826"
"Obsessed","0.826"
"Ainda Tô Aí - Ao Vivo","0.826"
"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)","0.826"
"El Señor Es Mi Rey (feat. Tony Perez)","0.824"
"Floor Seats","0.823"
"THE BEACH","0.823"
"All The Way Up (feat. Infared)","0.822"
"All The Way Up (feat. Infared)","0.822"
"Charleston Girl (Live)","0.821"
"Amor de Carnaval - Ao Vivo","0.821"
"One Foot","0.818"
"I Saw Mommy Kissing Santa Claus","0.817"
"Alibi","0.817"
"On the Road Again - Live at Austin, Texas - Fall 1979","0.816"
"WiRUS","0.816"
"Kapitel 2.2 - Der Kaiser von Dallas","0.815"
"Black Eyes","0.815"
"La Boa (with Roco)","0.814"
"On the Beach","0.814"
"VáPurMim - Ao Vivo","0.814"
"Graveto - Ao Vivo","0.812"
"Despues De Las 12","0.811"
"Something's Got A Hold On Me","0.811"
"Me Muero de Amor - En Vivo","0.809"
"Sua Mãe Vai Me Amar","0.808"
"Amor Eterno","0.808"
"Un Año Más","0.807"
"Bleed American","0.806"
"Beach Waves and Soothing Brown Noise","0.806"
"Beach Waves and Soothing Brown Noise","0.806"
"Declaração pro Bar - Ao Vivo","0.805"
"Declaração pro Bar - Ao Vivo","0.805"
"225 - Tanz mit der Giftschlange - Teil 02","0.805"
"Mina de Fé","0.804"
"A Primeira Namorada - Ao Vivo","0.802"
"Mega Star - Ao Vivo Em Brasil/2008","0.802"
"This Train is Bound for Glory","0.802"
"Do You Want To","0.801"
"Lola - Live at Providence Civic Center, September 1979","0.798"
"Rastaman- Dita","0.798"
"Taxi Lunar - Ao Vivo","0.797"
"Meat Grinder","0.797"
"Meat Grinder","0.797"
"Meat Grinder","0.797"
"Luz Dos Olhos - Ao Vivo","0.797"
"Usted (feat. Vicentico) - MTV Unplugged","0.797"
"Kapitel 5.2 - Der Kaiser von Dallas","0.796"
"EARFQUAKE","0.795"
"Y Si La Ves","0.794"
"Turn The Page - Live","0.794"
"Tú Estás Aquí (feat. Jesús Adrián Romero)","0.794"
"Mama - 2007 Remaster","0.793"
"Dancing Queen","0.792"
"The Dope Show","0.792"
"Ma?omiasteczkowy","0.791"
"Vida Loka, Pt. 1","0.79"
"The Box","0.79"
"Drachenzähmen leicht gemacht 3 - Teil 3","0.789"
"Hate by Design","0.788"
"Welcome To The Circus","0.788"
"Quando A Gira Girou - Ao Vivo","0.788"
"Esse B.O é Meu - Ao Vivo","0.784"
"Esse B.O é Meu - Ao Vivo","0.784"
"De Nada Sirve","0.784"
"Pena Negra (with María José)","0.783"
"Me Namora (feat. Edu Ribeiro) - Natiruts Reggae Brasil - Ao Vivo","0.781"
"Lara - Ao Vivo","0.781"
"Overseas","0.78"
"Peppas (feat. Black Star)","0.78"
"Insegurança - Ao Vivo","0.78"
"Day Drinking","0.779"
"Pride (In The Name Of Love) - Remastered 2009","0.778"
"Botada Valendo - Ao Vivo","0.778"
"Cheiro de Balada - Ao Vivo","0.778"
"Ghostbusters","0.777"
"Head Over Heels / Broken","0.777"
"Drachenzähmen leicht gemacht - Teil 1","0.777"
"Dollhouse","0.777"
"Atrévete-Te-Te","0.776"
"Survivor","0.775"
"152 - und das Geheimnis der Kelly Brüder - Teil 04","0.775"
"No Me Importa el Dinero (feat. Julieta Venegas) - Vivo en el Palacio de los Deportes","0.774"
"I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir) - DubDogz, Bhaskar Remix","0.772"
"Que Faculdade Cê Faz? - Ao Vivo","0.772"
"Gimme Some More","0.771"
"Like A G6 - SkySaw Trap Remix","0.77"
"Don't Stop Me Now - Remastered 2011","0.77"
"Zukunft Pink - ALLIANCE REMIX (feat. Focalistic, Kwam.E, ALBI X, Willy Will, Awa Khiwe, Benji Asare, Inéz)","0.77"
"Kyle (i found you)","0.77"
"Attack","0.769"
"Teu Segredo - Ao Vivo Na Ilha Da Magia,Brasil/2008","0.768"
"Malandragem - Ao Vivo","0.768"
"DARK BROTHERHOOD (feat. Lil Baby)","0.768"
"Straight To Hell","0.767"
"Títere","0.765"
"Always Remember Us This Way","0.764"
"Sunny Delights","0.764"
"HALOHEAD","0.763"
"3 Batidas - Ao Vivo","0.763"
"Shakira!","0.763"
"Rosa Parks","0.761"
"Quando Apaga A Luz - Ao Vivo","0.761"
"Quando Apaga A Luz - Ao Vivo","0.761"
"Ya Supérame (En Vivo)","0.76"
"How to Save a Life - Live in Nashville, TN - December 2006","0.759"
"Pura Adrenalina - Ao Vivo","0.759"
"Renuévame","0.758"
"Hold The Line (feat. grandson)","0.758"
"Fácil - Acústico","0.757"
"Me & U (feat. Kelsey)","0.756"
"Lo Aprendí de Ti - HA-ASH Primera Fila - Hecho Realidad [En Vivo]","0.756"
"Escucharte Hablar","0.755"
"Temprano yo te buscaré","0.755"
"Cello (feat. Clueso) - MTV Unplugged Radio Atmo-Version","0.754"
"Love Gostosinho - Ao Vivo","0.753"
"Love Gostosinho - Ao Vivo","0.753"
"Virtual Diva","0.753"
"Pump It","0.751"
"La chispa adecuada (feat. León Larregui) - MTV Unplugged","0.75"
"Jungle Love","0.75"
"Livre Pra Voar (Quando A Gente Se Encontrar)","0.75"
"Beach Sounds","0.75"
"Liguei Pra Dizer Que Te Amo - Ao Vivo","0.75"
"Welcome To The 60's","0.749"
"Good Goodbye (feat. Pusha T and Stormzy)","0.748"
"Tally (with Denzel Curry)","0.748"
"Bye, Bye - En Vivo","0.747"
"Da Art of Storytellin' (Pt. 1)","0.745"
"Deep Down (feat. Never Dull) - Friend Within Remix","0.745"
"Run Through Walls","0.744"
"Hanginaround","0.744"
"Cookie Jar (feat. The-Dream)","0.744"
"O Come to the Altar (Live)","0.743"
"Zukunft Pink (feat. Inéz)","0.743"
"O Alvo (feat. Henrique & Juliano) - Ao Vivo","0.742"
"Spotlight","0.742"
"Sticker","0.742"
"O Segundo Sol - Ao Vivo","0.741"
"Mas Macarena (feat. Los Del Rio)","0.741"
"Luna - En Vivo","0.741"
"Se Não Tem As Manha - Ao Vivo","0.741"
"Am I A Psycho","0.74"
"Separate Ways (Worlds Apart)","0.74"
"Mi Libertad - with Special Guest: Voltio","0.739"
"Jaane Kya Baat Hai (From ""Sunny"")","0.738"
"152 - und das Geheimnis der Kelly Brüder - Teil 02","0.738"
"Pingaiada - Ao Vivo","0.737"
"NO","0.737"
"Tu mirada","0.737"
"Primeiros Erros","0.736"
"Somewhere Only We know - Live from Spotify, London","0.736"
"Até Que Durou - Ao Vivo","0.736"
"Apenas Mais uma de Amor","0.735"
"Good as Hell (feat. Ariana Grande)","0.735"
"Ai Eu Chorei - Ao Vivo","0.735"
"Nuketown (feat. Juice WRLD)","0.734"
"Desse Jeito é Ruim pra Mim - Ao Vivo","0.734"
"Kite","0.734"
"Yo Te Esperaba - Primera Fila [En Vivo]","0.734"
"Você Me Encantou Demais - Ao Vivo","0.734"
"The Passenger","0.733"
"Kakari Bhayil Ba Kamariya Lapak Ke 2","0.733"
"Kapitel 1 - Folge 47: Atomgespenster","0.732"
"Bootzilla","0.732"
"Majhail","0.731"
"We Are The World - Live","0.73"
"Bright Lights Bigger City","0.73"
"dddd","0.73"
"We Are The World - Live","0.73"
"We Are The World - Live","0.73"
"Come Around","0.73"
"We Are The World - Live","0.73"
"RITMO (Bad Boys For Life)","0.73"
"Who Do You Think You Are","0.73"
"We Are The World - Live","0.73"
"Cómo Te Extraño Mi Amor (En Vivo) (feat. Rubén Albarrán)","0.729"
"Ven y camina conmigo (feat. Pepe Aguilar) - MTV Unplugged","0.729"
"Dil To Pagal Hai","0.729"
"Bananza (Belly Dancer)","0.729"
"Dimelo Ma","0.728"
"No Woman, No Cry - Live At The Lyceum, London/1975","0.727"
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","0.727"
"Perrito Malvado","0.727"
"I Wanna Be Down","0.726"
"White Noise Relaxation for Calming Down Fussy Infant Baby, Sleepy Toddler or Child","0.726"
"Let It Go - James Bay Spotify Session 2015","0.726"
"Too Much Heaven","0.725"
"Por Onde Andei - Ao Vivo","0.725"
"Help Yourself","0.725"
"Ocean Prime (feat. Boldy James)","0.724"
"Gasoline","0.724"
"O Leãozinho - Ao Vivo Em São Paulo / 2017","0.722"
"Tum Tak - Lofi Flip","0.722"
"Weekend!","0.722"
"Kapitel 07: auf Weltreise (Folge 150)","0.721"
"Beijo pra Jogo - Ao Vivo","0.721"
"Broken Vessels (Amazing Grace) - Live","0.72"
"Nunca Mais - Ao Vivo","0.72"
"Campana Sobre Campana","0.72"
"La Mamá de la Mamá","0.72"
"Waste It On Me","0.72"
"Aunque no sea conmigo","0.719"
"Por la Raja de Tu Falda","0.719"
"The Lost Art Of Keeping A Secret","0.719"
"Lenço - Ao Vivo","0.719"
"Drown","0.719"
"Running on Empty","0.719"
"Eu Gosto Assim - Ao Vivo","0.719"
"Eu Gosto Assim - Ao Vivo","0.719"
"Aunque no sea conmigo","0.719"
"Crazy Crazy Nights","0.718"
"Happy Xmas (War Is Over) - Remastered 2010","0.718"
"Nookie","0.718"
"Happy Xmas (War Is Over) - Remastered 2010","0.718"
"Blur (feat. Foster The People)","0.718"
"Camelot","0.717"
"Twelve Thirty - Single Version","0.717"
"Graveto - Ao Vivo","0.717"
"Soñé - En Vivo","0.716"
"Allegria","0.714"
"Genie","0.714"
"All Star - Ao Vivo","0.714"
"Déjate Llevar","0.712"
"Say Something (Featuring Drake)","0.712"
"Tu Recuerdo (feat. La Mari De Chambao & Tommy Torres) - MTV Unplugged Version","0.712"
"Mr. Jones - Live At Chelsea Studios, New York/1997","0.712"
"La musica non c'è","0.712"
"If You Ever Wanna Be In Love - James Bay Spotify Session 2015","0.712"
"Emergency Contact","0.711"
"Deixa Tudo Como Tá - Ao Vivo","0.711"
"No Yeast (feat. Boldy James)","0.711"
"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""","0.71"
"Vai Errar de Novo - Ao Vivo","0.71"
"Por Enquanto - Ao Vivo","0.71"
"Don't Look","0.71"
"Te Para 3 - MTV Unplugged","0.709"
"Un Buen Perdedor","0.709"
"How to Save a Life - Live in NYC - 2009","0.708"
"Escape (feat. Hayla)","0.708"
"Amor (Ft. Mon Laferte) - MTV Unplugged","0.708"
"Escape (feat. Hayla)","0.708"
"Labios Rotos - En Vivo","0.708"
"Loaded Bases (feat. CeeLo Green)","0.708"
"Teil 1 - Fall 53: Die sieben Zinnsoldaten","0.708"
"Unwell","0.707"
"Tears in Heaven - Acoustic Live","0.707"
"Stay With Me - Live From Spotify Berlin","0.707"
"Bow Down","0.707"
"Seja Para Mim - Ao Vivo Em São Paulo","0.706"
"Intro","0.706"
"Caia Fogo - Ao Vivo","0.705"
"Magic Piano and White Noise","0.705"
"I Smile","0.705"
"Tu Meri","0.704"
"Separação - Ao Vivo","0.704"
"Prometiste","0.703"
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007","0.702"
"A Farra Vem Até Mim - Ao Vivo","0.702"
"A paz - Ao vivo","0.702"
"Aquí","0.701"
"Glittery - From The Kacey Musgraves Christmas Show","0.701"
"Algo Más","0.701"
"Don't Let The Sun Go Down On Me - Live","0.701"
"Love Is Only a Feeling","0.701"
"Se Eu Pedir Cê Volta / Ela É Demais - Ao Vivo","0.7"
"Mentira","0.7"
"'O Sole Mio - Live","0.7"
"Brighter Day","0.7"
"Fugaz (feat. Rubén Albarrán) - En Vivo","0.699"
"Me Vas a Extrañar - En Vivo","0.699"
"All The Money (with Gunna) [Bonus]","0.699"
"The Quiet Place","0.698"
"Camuflaje - Official Remix","0.697"
"Quero Ser Feliz Também - Ao Vivo","0.697"
"Give Peace A Chance - Ultimate Mix","0.697"
"Wish","0.697"
"Bomboro Quiñá Quiñá (with Rubén Albarrán)","0.697"
"Fui Dando Porrada - Ao Vivo","0.697"
"Tudo Bem","0.697"
"death bed (coffee for your head)","0.696"
"1st of Tha Month","0.696"
"225 - Tanz mit der Giftschlange - Teil 01","0.696"
