"artist","track","views","rnk"
"A.R. Rahman","Param Sundari","435786754","1"
"A.R. Rahman","Kun Faya Kun","333829289","2"
"A.R. Rahman","Tere Bina","94808515","3"
"Aaliyah","At Your Best (You Are Love)","18303739","1"
"Aaliyah","Age Ain't Nothing But a Number","16517422","2"
"Aaliyah","One In A Million","6471224","3"
"Aaron Smith","Dancin (feat. Luvli) - Original Mix","107256536","1"
"Aaron Smith","Don't You Know - Live Bass Mix","107256536","1"
"Aaron Smith","Dancin - Krono Remix","107256536","1"
"Aaron Smith","Dancin (feat. Luvli) - Krono Remix","107256536","1"
"Aaron Smith","Dancin (feat. Luvli) - BOXINBOX Remix","107256536","1"
"Aaron Smith","Dancin (feat. Luvli) - Danny Avila & Jumpa Remix","517810","2"
"Aaron Smith","Outer Level","37056","3"
"ABBA","Dancing Queen","679721429","1"
"ABBA","Gimme! Gimme! Gimme! (A Man After Midnight)","361288115","2"
"ABBA","Mamma Mia","272724820","3"
"Abel Pintos","Sin Principio Ni Final","134111765","1"
"Abel Pintos","Tanto Amor","83525442","2"
"Abel Pintos","Oncemil","74949734","3"
"Abhijeet","Tum Dil Ki Dhadkan Mein (From ""Dhadkan"")","128549546","1"
"Abhijeet","Chunnari Chunnari","124906144","2"
"Abhijeet","Main Agar Saamne","63524631","3"
"AC/DC","Thunderstruck","1224226060","1"
"AC/DC","Back In Black","915158054","2"
"AC/DC","You Shook Me All Night Long","279117834","3"
"Academy of St. Martin in the Fields","Mozart: Concerto For Clarinet And Orchestra In A (K. 622)","17040561","1"
"Academy of St. Martin in the Fields","Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso - Live at Konzerthaus Berlin / 2018","223760","2"
"Academy of St. Martin in the Fields","Solomon HWV 67 / Act 3: The Arrival Of The Queen Of Sheba","205542","3"
"accelerate","he's mine (sped up) - you may of had him once","6687694","1"
"accelerate","trust issues (sped up) - girl i'm lying i'm on a few","2395781","2"
"accelerate","woo x I was never there (sped up)","901925","3"
"Ace of Base","All That She Wants","129240943","1"
"Ace of Base","Beautiful Life","124922588","2"
"Ace of Base","The Sign","109856522","3"
"Adam Levine","Lost Stars","153198537","1"
"Adam Levine","Lifestyle (feat. Adam Levine)","22947274","2"
"Adam Levine","Ojalá","8305753","3"
"Adele","Rolling in the Deep","2160008518","1"
"Adele","Someone Like You","1958083020","2"
"Adele","When We Were Young","652035959","3"
"Ado","Usseewa","262747530","1"
"Ado","Odo","161561467","2"
"Ado","New Genesis","114155926","3"
"Adolescent's Orquesta","Virgen","87955206","1"
"Adolescent's Orquesta","Anhelo","18861356","2"
"Adolescent's Orquesta","Aquel Lugar","18019174","3"
"Aerosmith","Crazy","634261334","1"
"Aerosmith","I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack","541140942","2"
"Aerosmith","Cryin'","307486563","3"
"Afgan","Jodoh Pasti Bertemu","58531142","1"
"Afgan","Kamu Yang Kutunggu","52736154","2"
"Afgan","Ku Dengannya Kau Dengan Dia","38954025","3"
"Afrojack","Ten Feet Tall","104876340","1"
"Afrojack","Maldito Alcohol (Pitbull vs. Afrojack)","28981520","2"
"Afrojack","Sad (feat. Afrojack)","7759702","3"
"Ahmet Kaya","Kum Gibi","165628727","1"
"Ahmet Kaya","Söyle","84014178","2"
"Ahmet Kaya","Kendine ?yi Bak","28564334","3"
"Aimer","Ref:rain","20128095","1"
"Aimer","Brave Shine","18170949","2"
"Aimer","Deep down","5220848","3"
"Air Supply","Making Love Out of Nothing at All","268806665","1"
"Air Supply","All Out of Love","159677826","2"
"Air Supply","Lonely Is the Night","41865802","3"
"Aitana","Vas A Quedarte","141920631","1"
"Aitana","Presiento","123782385","2"
"Aitana","CORAZÓN SIN VIDA","53106534","3"
"Aitch","Keisha & Becky - Remix","86177719","1"
"Aitch","Rain","58468381","2"
"Aitch","Bamba (feat. Aitch & BIA)","30338918","3"
"Ajaxx","Freio da Blazer","202569481","1"
"Ajaxx","Eu Fiz o Jogo Virar","124395573","2"
"Ajaxx","Metflix","69890014","3"
"Ajay-Atul","Zingaat","416210577","1"
"Ajay-Atul","Chikni Chameli","309781761","2"
"Ajay-Atul","Brothers Anthem","138104095","3"
"AJR","World's Smallest Violin","123292016","1"
"AJR","Burn The House Down","92224111","2"
"AJR","Weak","79467829","3"
"Akhil","Khaab","701829307","1"
"Akhil","Duniyaa (From ""Luka Chuppi"")","268316692","2"
"Akhil","Bachalo","160263519","3"
"Akon","Smack That","998832484","1"
"Akon","Lonely","901283547","2"
"Akon","Right Now (Na Na Na)","781002857","3"
"Al Green","Tired of Being Alone","33534403","1"
"Al Green","How Can You Mend a Broken Heart","33420938","2"
"Al Green","Simply Beautiful","11829470","3"
"Alabama","Song of the South","41662517","1"
"Alabama","If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band)","27085673","2"
"Alabama","Dixieland Delight","23087941","3"
"Alabama","Dixieland Delight - Single Edit","23087941","3"
"Alan Gomez","TURRA","94411638","1"
"Alan Gomez","CALLEJERO FINO | Mission 10","79105145","2"
"Alan Gomez","Butakera","72361544","3"
"Alan Jackson","Remember When","249882562","1"
"Alan Jackson","Chattahoochee","154325789","2"
"Alan Jackson","Country Boy","84857600","3"
"Alan Walker","Faded","3400741854","1"
"Alan Walker","Alone","1300029416","2"
"Alan Walker","The Spectre","1055729179","3"
"Alanis Morissette","Ironic - 2015 Remaster","215467562","1"
"Alanis Morissette","Thank U","73846280","2"
"Alanis Morissette","You Oughta Know - 2015 Remaster","70972729","3"
"Alceu Valença","Girassol","245959570","1"
"Alceu Valença","La Belle De Jour","245959570","1"
"Alceu Valença","Anunciação","86922471","2"
"Alceu Valença","Anunciação - Ao Vivo","86922471","2"
"Alceu Valença","Tropicana (Morena Tropicana)","49642645","3"
"Alec Benjamin","Let Me Down Slowly","451014608","1"
"Alec Benjamin","If We Have Each Other","40072427","2"
"Alec Benjamin","Water Fountain","38076203","3"
"Alejandra Guzman","Yo Te Esperaba - Primera Fila [En Vivo]","361937789","1"
"Alejandra Guzman","Más Buena","212819229","2"
"Alejandra Guzman","Día De Suerte","15420860","3"
"Alejandro Fernández","Hoy Tengo Ganas De Ti","558111792","1"
"Alejandro Fernández","Me Dediqué a Perderte","459879507","2"
"Alejandro Fernández","Sé Que Te Duele","204885566","3"
"Alejandro Sanz","Amiga mía","436802658","1"
"Alejandro Sanz","Deja Que Te Bese","181778115","2"
"Alejandro Sanz","Desde cuando","128729469","3"
"Aleks Syntek","Duele El Amor","91142067","1"
"Aleks Syntek","Tu Recuerdo Divino (feat. Los Ángeles Azules) - Versión Bodas","54277803","2"
"Aleks Syntek","Intocable","39001874","3"
"Aleman","Tantas Veces","257879588","1"
"Aleman","Aleman: Bzrp Music Sessions, Vol. 15","208375592","2"
"Aleman","Grandes Ligas","167759736","3"
"Alessia Cara","How Far I'll Go - Alessia Cara Version","277883599","1"
"Alessia Cara","Here","232363674","2"
"Alessia Cara","Scars To Your Beautiful","130860083","3"
"Alesso","Under Control (feat. Hurts)","272750697","1"
"Alesso","Heroes (we could be)","239419759","2"
"Alesso","REMEDY","172224413","3"
"Alex G","Sarah","2787571","1"
"Alex G","Advice","1398166","2"
"Alex G","Gnaw","1185844","3"
"Alex Ubago","Aunque no te pueda ver","150264939","1"
"Alex Ubago","Resistiré","73742662","2"
"Alex Ubago","A gritos de esperanza","42647804","3"
"Alex Zurdo","Te Busco","156177456","1"
"Alex Zurdo","Sin Ti","89140856","2"
"Alex Zurdo","Cuando Yo Te Conocí feat. AZ Family","55146901","3"
"Alexandre Desplat","Lily's Theme","1806129","1"
"Alexandre Desplat","Courtyard Apocalypse","663502","2"
"Alexandre Desplat","Statues","451489","3"
"Alexis y Fido","Una En Un Millón","325421662","1"
"Alexis y Fido","Donde Estés Llegaré","108562653","2"
"Alexis y Fido","5 Letras","75538836","3"
"Alfonso Herrera","De Donde Vienes... A Donde Vas..?","143340","1"
"Alfonso Herrera","Por Ti","37744","2"
"Alfonso Herrera","Grita","5565","3"
"Alfredo Olivas","Antecedentes De Culpa","179377528","1"
"Alfredo Olivas","En Definitiva","160713639","2"
"Alfredo Olivas","El Malo De Culiacán","155642635","3"
"Alice Cooper","Poison","264551594","1"
"Alice Cooper","School's Out","11039254","2"
"Alice Cooper","Feed My Frankenstein","10028517","3"
"Alice In Chains","Man in the Box","140785484","1"
"Alice In Chains","Would? (2022 Remaster)","128525680","2"
"Alice In Chains","Rooster (2022 Remaster)","94664906","3"
"Alicia Keys","No One","692467188","1"
"Alicia Keys","Girl on Fire","402155443","2"
"Alicia Keys","If I Ain't Got You","288876804","3"
"Aline Barros","Ressuscita-me","46510869","1"
"Aline Barros","Autor da Vida","40565990","2"
"Aline Barros","Sonda-me, Usa-me","26800151","3"
"Alka Yagnik","Bole Chudiyan","763521214","1"
"Alka Yagnik","Ladki Badi Anjani Hai","442248940","2"
"Alka Yagnik","Ae Mere Humsafar","312995294","3"
"All Time Low","Dear Maria, Count Me In","72186074","1"
"All Time Low","A Love Like War (feat. Vic Fuentes)","36750204","2"
"All Time Low","Weightless","28261507","3"
"Allman Brothers Band","Soulshine","19802113","1"
"Allman Brothers Band","Whipping Post","11944301","2"
"Allman Brothers Band","Blue Sky","8402964","3"
"Almighty","Crecia","57372111","1"
"Almighty","Vacio","45883417","2"
"Almighty","Abusadora","29274862","3"
"Aloe Blacc","I Need A Dollar","101515343","1"
"Aloe Blacc","The Man","56624808","2"
"Aloe Blacc","Never Be Alone (feat. Aloe Blacc)","5796519","3"
"Alok","Hear Me Now","457043893","1"
"Alok","Liberdade (Quando o Grave Bate Forte)","119336946","2"
"Alok","Piece Of Your Heart - Alok Remix","43449949","3"
"Alonzo","Binta","120523452","1"
"Alonzo","La Seleçao","95569628","2"
"Alonzo","Santana","95179936","3"
"Alphaville","Forever Young - 2019 Remaster","383177233","1"
"Alphaville","Sounds Like a Melody","60072705","2"
"Alphaville","Big in Japan - 2019 Remaster","40422548","3"
"Alphaville","Big in Japan - Single Version; 2019 Remaster","40422548","3"
"alt-J","Breezeblocks","255182397","1"
"alt-J","Taro","93338732","2"
"alt-J","Left Hand Free","71602119","3"
"Amaal Mallik","Main Rahoon Ya Na Rahoon","343732263","1"
"Amaal Mallik","Bol Do Na Zara","216066987","2"
"Amaal Mallik","Soch Na Sake","199012213","3"
"America","Sister Golden Hair","25414160","1"
"America","You Can Do Magic","19186089","2"
"America","Daisy Jane","2836290","3"
"Amit Trivedi","Namo Namo","125458675","1"
"Amit Trivedi","Naina Da Kya Kasoor","109443713","2"
"Amit Trivedi","Love You Zindagi","92716283","3"
"Amitabh Bhattacharya","Kesariya","405014536","1"
"Amitabh Bhattacharya","Deva Deva","84219593","2"
"Amitabh Bhattacharya","Dance Ka Bhoot","63596476","3"
"Amy Winehouse","Back To Black","879026484","1"
"Amy Winehouse","You Know I'm No Good","348215647","2"
"Amy Winehouse","Rehab","313440495","3"
"Ana Bárbara","Bandido","225813491","1"
"Ana Bárbara","Lo Busqué","149584018","2"
"Ana Bárbara","Que Poca","68164099","3"
"Ana Castela","Pipoco","190188913","1"
"Ana Castela","Roça Em Mim","104479114","2"
"Ana Castela","Bombonzinho - Ao Vivo","75156546","3"
"Ana Gabriel","Mi Talismán","352435270","1"
"Ana Gabriel","Y Aquí Estoy","69276219","2"
"Ana Gabriel","Evidencias","49519406","3"
"Ana Mena","Una volta ancora (feat. Ana Mena)","266332117","1"
"Ana Mena","A Un Paso De La Luna - Remix","121304681","2"
"Ana Mena","A Un Paso De La Luna","92930431","3"
"Anahí","Ser O Parecer","34052357","1"
"Anahí","Este Corazón","24409695","2"
"Anahí","Nuestro Amor","3582138","3"
"Ananya Bhat","Mehabooba (From ""Kgf Chapter 2"")","94361912","1"
"Ananya Bhat","Singara Siriye","82451554","2"
"Ananya Bhat","Sultan","78583957","3"
"Anderson .Paak","Leave The Door Open","637665966","1"
"Anderson .Paak","Smokin Out The Window","151531108","2"
"Anderson .Paak","Skate","104022571","3"
"Andrea Bocelli","Perfect Symphony (Ed Sheeran & Andrea Bocelli)","454581312","1"
"Andrea Bocelli","Vivo Por Ella (Vivo Per Lei) - Italian - Spanish Version With Marta Sanchez","210647778","2"
"Andrea Bocelli","The Prayer","187029035","3"
"Andrés Calamaro","Flaca","250740290","1"
"Andrés Calamaro","Mil Horas","58146682","2"
"Andrés Calamaro","Cuando No Estás","46859436","3"
"Andrés Cepeda","Magia (feat. Sebastián Yatra)","158455812","1"
"Andrés Cepeda","Lo Mejor Que Hay en Mi Vida","142745528","2"
"Andrés Cepeda","Besos Usados","75477691","3"
"Andy Grammer","Honey, I'm Good.","103721712","1"
"Andy Grammer","Don't Give Up On Me - (From ""Five Feet Apart"")","100760388","2"
"Andy Grammer","Fresh Eyes","7850060","3"
"Andy Williams","A Summer Place","3926830","1"
"Andy Williams","It's the Most Wonderful Time of the Year","3033061","2"
"Andy Williams","Can't Take My Eyes Off You","1995843","3"
"Angel Y Khriz","Na De Na","175039303","1"
"Angel Y Khriz","Ven Bailalo - Reggaeton Mix","97991619","2"
"Angel Y Khriz","Me Enamoré","46281752","3"
"Ángela Aguilar","Dime Cómo Quieres","607883484","1"
"Ángela Aguilar","Tu Sangre en Mi Cuerpo","233284390","2"
"Ángela Aguilar","La Llorona","208749849","3"
"Angèle","Tout oublier","129223226","1"
"Angèle","Fever","119212668","2"
"Angèle","Balance ton quoi","109316740","3"
"Angus & Julia Stone","Mango Tree","0","1"
"Angus & Julia Stone","Santa Monica Dream","0","1"
"Angus & Julia Stone","Paper Aeroplane","0","1"
"Angus & Julia Stone","Grizzly Bear","0","1"
"Angus & Julia Stone","Passionfruit - triple j Like a Version","0","1"
"Angus & Julia Stone","Nothing Else","0","1"
"Angus & Julia Stone","Youngblood","0","1"
"Angus & Julia Stone","Chateau","0","1"
"Angus & Julia Stone","Stay With Me - Live From Spotify Berlin","0","1"
"Angus & Julia Stone","Big Jet Plane","0","1"
"Anirudh Ravichander","Arabic Kuthu - Halamithi Habibo (From ""Beast"")","385491264","1"
"Anirudh Ravichander","Megham Karukatha","101384276","2"
"Anirudh Ravichander","Thaai Kelavi (From ""Thiruchitrambalam"")","93382046","3"
"Anitta","Downtown","665825401","1"
"Anitta","Envolver","467274169","2"
"Anitta","La Loto","72833439","3"
"Ankit Tiwari","Galliyan (From ""Ek Villain"")","305155746","1"
"Ankit Tiwari","Sanam Teri Kasam (From ""Sanam Teri Kasam"")","134542812","2"
"Ankit Tiwari","Tu Hai Ki Nahi","116318324","3"
"Anne-Marie","FRIENDS","994084110","1"
"Anne-Marie","2002","729409155","2"
"Anne-Marie","Rewrite The Stars (with James Arthur & Anne-Marie)","427470535","3"
"Annie Lennox","Sweet Dreams (Are Made of This)","763538331","1"
"Annie Lennox","Sweet Dreams (Are Made of This) - Remastered","763538331","1"
"Annie Lennox","Why","70949569","2"
"Annie Lennox","I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack","63125368","3"
"Antonio Aguilar","Un Puño De Tierra","110698884","1"
"Antonio Aguilar","Nadie Es Eterno","66228796","2"
"Antonio Aguilar","Triste Recuerdo","57007538","3"
"Antônio Carlos Jobim","Pela Luz dos Olhos Teus - Bonus Track","4531439","1"
"Antônio Carlos Jobim","Wave","1641265","2"
"Antônio Carlos Jobim","Triste","197353","3"
"Antonio Orozco","Mi Héroe","47765726","1"
"Antonio Orozco","Mi Héroe","47765726","1"
"Antonio Orozco","Y, ¿Si Fuera Ella? - + Es +","44480553","2"
"Antonio Orozco","Ya Lo Sabes","20436924","3"
"Antonio Vivaldi","The Four Seasons - Winter in F Minor, RV. 297: I. Allegro non molto","8398449","1"
"Antonio Vivaldi","The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto","8398449","1"
"Antonio Vivaldi","The Four Seasons, Violin Concerto No. 4 in F Minor, RV 297 ""Winter"": II. Largo","8398449","1"
"Antonio Vivaldi","Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)","534308","2"
"Antonio Vivaldi","The Four Seasons - Summer in G Minor, RV. 315: III. Presto","389135","3"
"Anuel AA","Adicto (with Anuel AA & Ozuna)","1008938193","1"
"Anuel AA","Ella Quiere Beber - Remix","740004670","2"
"Anuel AA","Amanece","719981580","3"
"Anuradha Paudwal","Tamma Tamma Again","356812170","1"
"Anuradha Paudwal","Uga Ho Surujdev Bhel Bhinsarva (From ""Chhath Pooja Ke Geet"")","172628374","2"
"Anuradha Paudwal","Chhoti Chhoti Raatein","138316731","3"
"AP Dhillon","Brown Munde","598801454","1"
"AP Dhillon","Excuses","291315311","2"
"AP Dhillon","Insane","139764362","3"
"Apache 207","Roller","157284843","1"
"Apache 207","200 km/h","60324812","2"
"Apache 207","Kein Problem","50506802","3"
"Aphex Twin","#3","18316658","1"
"Aphex Twin","I","4560539","2"
"Aphex Twin","Avril 14th","3831690","3"
"ARASHI","Love So Sweet","48810691","1"
"ARASHI","Monster","44929107","2"
"ARASHI","Turning Up","43271166","3"
"Arcade Fire","The Suburbs","36568025","1"
"Arcade Fire","Everything Now","33766567","2"
"Arcade Fire","Afterlife","10786631","3"
"Arcane","Enemy (with JID) - from the series Arcane League of Legends","296324042","1"
"Arcane","Enemy - From the series Arcane League of Legends","215025741","2"
"Arcane","Snakes (from the series Arcane League of Legends)","11171405","3"
"Arcángel","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","1418634060","1"
"Arcángel","Si Se Da - Remix","1202918104","2"
"Arcángel","Me Acostumbre (feat. Bad Bunny)","765035383","3"
"Arctic Monkeys","Do I Wanna Know?","1449470227","1"
"Arctic Monkeys","R U Mine?","296135529","2"
"Arctic Monkeys","Why'd You Only Call Me When You're High?","156785307","3"
"Aretha Franklin","Respect","77403163","1"
"Aretha Franklin","I Knew You Were Waiting (For Me)","46592929","2"
"Aretha Franklin","Think","22556812","3"
"Aretha Franklin","Think","22556812","3"
"Ariana Grande","7 rings","1241561447","1"
"Ariana Grande","thank u, next","749903471","2"
"Ariana Grande","positions","480074066","3"
"Arijit Singh","Khairiyat","878659546","1"
"Arijit Singh","Kesariya","405012438","2"
"Arijit Singh","Shayad","269306429","3"
"Arizona Zervas","ROXANNE","195460895","1"
"Arizona Zervas","FML","4203047","2"
"Arizona Zervas","NIGHTRIDER","3636781","3"
"Armaan Malik","Buttabomma - Telugu","815259705","1"
"Armaan Malik","Main Rahoon Ya Na Rahoon","343733875","2"
"Armaan Malik","Jab Tak (From ""M.S.Dhoni - The Untold Story"")","207396949","3"
"Armand Van Helden","You Don't Know Me (feat. Duane Harden)","14450951","1"
"Armand Van Helden","I Want Your Soul","4039442","2"
"Armand Van Helden","I Want Your Soul - Radio Edit","4039442","2"
"Armand Van Helden","Wings","1430046","3"
"Armin van Buuren","Blah Blah Blah","652118938","1"
"Armin van Buuren","Great Spirit","168757517","2"
"Armin van Buuren","This Is What It Feels Like","124879737","3"
"Asees Kaur","Raataan Lambiyan (From ""Shershaah"")","775927524","1"
"Asees Kaur","Chogada (From ""Loveyatri"")","674986702","2"
"Asees Kaur","Makhna","422216419","3"
"Asha Bhosle","Zara Sa Jhoom Loon Main","178272184","1"
"Asha Bhosle","Radha Kaise Na Jale","118198528","2"
"Asha Bhosle","Chehra Kya Dekhte Ho (From ""Salaami"")","79689957","3"
"Ashanti","Unfoolish","195333616","1"
"Ashanti","Foolish","195333616","1"
"Ashanti","Body On Me","74591759","2"
"Ashanti","Happy","70532217","3"
"Ashe","Moral of the Story","81186904","1"
"Ashe","Moral of the Story (feat. Niall Horan) - Bonus Track","21358619","2"
"Ashe","Till Forever Falls Apart","12668989","3"
"ATB","Ecstasy - Morten Granau Remix","82176302","1"
"ATB","Your Love (9PM)","27148915","2"
"ATB","Ecstasy","20938295","3"
"ATEEZ","WONDERLAND","116429615","1"
"ATEEZ","Answer","81711780","2"
"ATEEZ","INCEPTION","76769142","3"
"Ati242","Yolu Yok","12283375","1"
"Ati242","25","9381418","2"
"Ati242","Inzaghi","8682030","3"
"Atif Aslam","Dil Diyan Gallan","743948623","1"
"Atif Aslam","O Saathi","483433009","2"
"Atif Aslam","Tera Hone Laga Hoon","349528331","3"
"Audioslave","Like a Stone","1046239091","1"
"Audioslave","Be Yourself","229693884","2"
"Audioslave","Show Me How to Live","162866191","3"
"AURORA","Runaway","508109682","1"
"AURORA","Cure For Me","67601754","2"
"AURORA","Running with the Wolves","63579522","3"
"Ava Max","Sweet but Psycho","835090988","1"
"Ava Max","Kings & Queens","308964632","2"
"Ava Max","Alone, Pt. II","296387822","3"
"Avenged Sevenfold","So Far Away","313781731","1"
"Avenged Sevenfold","Hail to the King","237758460","2"
"Avenged Sevenfold","Nightmare","196142209","3"
"Aventura","El Perdedor","460042496","1"
"Aventura","Ella Y Yo - Featuring Don Omar","438743286","2"
"Aventura","Volví","406596572","3"
"Avicii","Wake Me Up","2221205597","1"
"Avicii","Waiting For Love","1027002952","2"
"Avicii","Levels - Radio Edit","620663030","3"
"Avril Lavigne","Girlfriend","615543564","1"
"Avril Lavigne","Complicated","565700539","2"
"Avril Lavigne","When You're Gone","502061646","3"
"Aya Nakamura","Djadja","905019832","1"
"Aya Nakamura","Copines","487021035","2"
"Aya Nakamura","Dégaine (feat. Damso)","60872429","3"
"AYLIVA","Deine Schuld","16686515","1"
"AYLIVA","Wenn ich wein","10768970","2"
"AYLIVA","Bei Nacht","9192417","3"
"B Praak","O Saki Saki (From ""Batla House"")","667748330","1"
"B Praak","Filhaal2 Mohabbat","640257435","2"
"B Praak","Pachtaoge (From ""Jaani Ve"")","619891430","3"
"B.o.B","Airplanes (feat. Hayley Williams of Paramore)","643849086","1"
"B.o.B","Nothin' on You (feat. Bruno Mars)","412165445","2"
"B.o.B","Nothing on You","412165445","2"
"B.o.B","HeadBand (feat. 2 Chainz)","84641388","3"
"Babasónicos","Putita","32025328","1"
"Babasónicos","Como Eran Las Cosas","31448969","2"
"Babasónicos","Risa","29301266","3"
"Baby Keem","family ties (with Kendrick Lamar)","81537090","1"
"Baby Keem","ORANGE SODA","31693749","2"
"Baby Keem","lost souls (with Brent Faiyaz)","10975302","3"
"Baby Rasta","Nunca Me Amo","281422072","1"
"Baby Rasta","Tengo una Punto 40","107079777","2"
"Baby Rasta","PUNTO 40","107079777","2"
"Baby Rasta","Soltero","86879213","3"
"Bacilos","Caraluna","185320355","1"
"Bacilos","Mi primer millon","83227734","2"
"Bacilos","Tabaco y Chanel - Re-Recorded","58044560","3"
"Bacilos","Tabaco Y Chanel","58044560","3"
"back number","HAPPY BIRTHDAY","38470174","1"
"Backstreet Boys","I Want It That Way","1188156305","1"
"Backstreet Boys","As Long as You Love Me","441736021","2"
"Backstreet Boys","Shape of My Heart","290442452","3"
"Bad Bunny","Yonaguni","797887828","1"
"Bad Bunny","Tití Me Preguntó","644301257","2"
"Bad Bunny","LA CANCIÓN","625768136","3"
"Bad Omens","The Worst In Me","14184069","1"
"Bad Omens","Dethrone","9016607","2"
"Bad Omens","THE DEATH OF PEACE OF MIND","8883504","3"
"Badshah","Kala Chashma","882130101","1"
"Badshah","Paani Paani","785743606","2"
"Badshah","Tareefan","360629232","3"
"Bailey Zimmerman","Fall In Love","39233392","1"
"Bailey Zimmerman","Rock and A Hard Place - Acoustic","21802704","2"
"Bailey Zimmerman","Rock and A Hard Place","21802704","2"
"Bailey Zimmerman","Never Comin' Home","7546413","3"
"Banda Cuisillos","Ya No Me Mires Así","18167069","1"
"Banda Cuisillos","A Veces Lloro","15887036","2"
"Banda Cuisillos","Acuérdate De Mi","9729957","3"
"Banda El Recodo","Vas A Llorar Por Mí","369195742","1"
